series,season,episode,episode_code,attempt_number,score,explanation,why_not_lower,why_not_higher
NA,03,04,NAS03E04,1,+1,"The episode features an explicit discussion about the impact of police presence in the hospital on racialized staff and patients. Casey, a Black nurse, shares personal experiences of racial profiling by police, including being handcuffed in medical scrubs, and points out that the presence of police makes undocumented and homeless people, as well as trans patients, feel less safe. The narrative gives Casey and other marginalized characters agency to voice these concerns, and Lauren (the white department head) listens and ultimately removes the police from the ED, replacing them with bouncers trained in de-escalation. The episode foregrounds racial dynamics and critiques the normalization of police as 'protectors,' highlighting how their presence can perpetuate racial bias and exclusion. This aligns with '+1' on the scale: the episode explicitly acknowledges and addresses racial dynamics, gives voice to marginalized perspectives, and encourages viewers to reflect on the issue.","The episode does not merely minimize or evade racial issues ('-1'); instead, it directly engages with the topic, foregrounds the experiences of Black staff, and problematizes the impact of police presence. The narrative does not leave the racial dynamics ambiguous ('0'); it clearly signals that Casey's critique is valid and leads to a change in policy.","While the episode critiques racism and makes a policy change, it does not actively promote systemic change or offer a transformative vision of equity ('+2' or '+3'). The solution—replacing police with bouncers—addresses immediate safety concerns but does not explore broader anti-racist strategies or deeply deconstruct institutional racism. The episode's stance is critical and reflective but not fully activist or transformative."
NA,03,04,NAS03E04,2,+1,"The episode features explicit acknowledgment and critique of racial dynamics, most notably in the storyline about increased police presence in the hospital. A Black character, Casey, voices his experiences of racial profiling and expresses discomfort and fear regarding the presence of police, referencing how it impacts marginalized groups such as undocumented people and the homeless. The narrative gives space to these perspectives, challenges the idea that police automatically make everyone safer, and ultimately replaces the police with bouncers, suggesting a willingness to listen and adapt to concerns about racialized policing. Additionally, there is some attention to immigrant experiences (e.g., struggles with travel and visas, mourning customs), and a brief discussion of Korean identity and adoption, though these are more about cultural difference than racism per se. The episode foregrounds racial issues and critiques bias, aligning with '+1' on the scale.","The episode does not minimize or evade racial issues ('-1'), nor does it present them ambiguously ('0'). Casey's speech and the subsequent narrative response directly address and critique racial bias and systemic issues, rather than reframing them as isolated incidents or downplaying their significance.","While the episode critiques racism and foregrounds marginalized voices, it does not actively show characters working to dismantle racist structures beyond the immediate context (e.g., replacing police with bouncers is a practical solution, but not a systemic challenge to racial inequality). The narrative does not offer a broader vision of racial equity or transformative advocacy ('+2' or '+3')."
NA,03,04,NAS03E04,3,+1,"The episode foregrounds racial dynamics explicitly in several scenes. Most notably, there is a critical conversation about the impact of police presence in the hospital, where Black and marginalized staff articulate their lived experiences of profiling and discomfort with law enforcement. The narrative gives these characters voice and agency, and the episode ultimately responds by removing the police and hiring bouncers, directly addressing the concerns raised. Additionally, there is a subplot involving a Korean-American character reflecting on her adoption and cultural identity, which is treated with empathy and complexity. These elements align with '+1' on the scale: the episode recognizes and critiques racial dynamics, encourages reflection, and gives marginalized characters space to articulate their experiences.","The episode does not merely minimize or evade racial issues (-1); instead, it brings them to the forefront and allows for open critique and discussion. The narrative does not reframe the concerns as isolated or interpersonal, but acknowledges their systemic nature and responds to them.","While the episode responds to critique by changing policy (replacing police with bouncers), it does not actively promote a broader vision of racial equity or justice (+2), nor does it depict transformative systemic change (+3). The focus remains on recognizing and critiquing specific instances rather than advocating or enacting deeper structural change."
NA,03,04,NAS03E04,4,+1,"The episode contains a significant scene where the introduction of police officers into the hospital is critically interrogated by Black and marginalized staff. Casey, a Black nurse, recounts personal experiences of racial profiling and expresses how police presence makes undocumented and homeless patients feel unsafe. The narrative gives space to these perspectives, explicitly acknowledging and critiquing the racial dynamics and bias associated with policing. The episode also features a brief exchange about Korean mourning customs and adoption, which touches on racial and cultural identity, though not in a way that foregrounds systemic critique. Overall, the episode recognizes and foregrounds racial dynamics with critique, aligning with the '+1' criteria.","The episode does not merely minimize or evade racial issues ('-1'); instead, it directly addresses the impact of policing on racialized staff and patients, and gives voice to their concerns. The racial dynamics are not left ambiguous or reframed as non-racial; they are explicitly discussed and problematized.","While the episode critiques racism and foregrounds the voices of marginalized staff, it does not show characters actively working to dismantle racist structures or promote a broader vision of equity ('+2'). The critique is present, but the narrative does not move into advocacy, systemic change, or transformative solutions."
NA,03,04,NAS03E04,5,+1,"The episode contains a significant scene in which Casey, a Black nurse, directly addresses the impact of police presence in the hospital, referencing his own experiences with racial profiling and highlighting how law enforcement can make marginalized groups (including undocumented people and the homeless) feel unsafe. This conversation is not minimized or reframed; instead, it is presented as a critique of the assumption that police automatically increase safety. The narrative gives Casey space to voice his perspective, and his concerns are not dismissed—in fact, the hospital later replaces police with bouncers, implicitly validating his critique. Additionally, Dr. Agnes Kao discusses her Korean heritage and adoption, touching on issues of racial and cultural identity, though this is more about personal identity than systemic racism. Overall, the episode explicitly foregrounds racial dynamics and critiques the impact of systemic structures (policing) on racialized individuals, aligning with '+1' on the scale.","The episode does not merely evade or minimize racial issues (-1); it directly acknowledges and critiques them through Casey's dialogue and the subsequent narrative shift away from police presence. The racial dynamics are not left ambiguous (0), nor are they normalized or accepted as unproblematic (-2).","While the episode critiques racism and foregrounds racial dynamics, it does not show sustained or transformative action to dismantle racist structures or promote systemic change (+2 or +3). The replacement of police with bouncers is a pragmatic response, but the episode does not offer a broader vision of equity or depict characters actively working to dismantle racism beyond the immediate hospital context."
NA,03,04,NAS03E04,6,+1,"The episode contains an explicit discussion about the presence of police in the hospital and how this impacts staff and patients of color, undocumented people, and trans individuals. Casey shares personal experiences of racial profiling and expresses discomfort and critique about the increased police presence, highlighting how it makes marginalized groups feel less safe. The narrative gives voice to these concerns, and the episode ultimately responds by replacing police officers with bouncers, acknowledging the harm and acting to address it. This aligns with '+1' on the scale: the episode explicitly foregrounds racial dynamics and critiques the impact of policing on marginalized groups, encouraging viewers to reflect on these issues.","The episode does not minimize, evade, or omit racial issues ('-1'), nor does it leave the racial dynamics ambiguous ('0'). Instead, it directly addresses the concerns raised by staff about racial profiling and the safety of marginalized groups, making the racial dynamics a central point of critique.","While the episode responds to the critique by removing police and hiring bouncers, it does not actively promote systemic change or offer a transformative vision of racial equity ('+2' or '+3'). The solution is pragmatic and immediate, but it does not deeply explore or dismantle broader structures of racial inequality beyond the hospital context."
NA,03,04,NAS03E04,7,+1,"The episode includes a significant scene where Casey, a Black nurse, directly addresses the negative impact of police presence in the hospital, referencing his own experiences with racial profiling and highlighting how marginalized groups (undocumented people, homeless, trans patients) feel less safe with police around. The narrative gives Casey space to articulate these concerns, and Lauren (the department head) listens and ultimately removes the police from the ED, replacing them with bouncers trained in de-escalation. This sequence foregrounds racial dynamics and critiques the normalization of police as a solution to safety, explicitly acknowledging the racialized impact of policing. Additionally, the episode features a conversation about Korean identity and adoption, where a character discusses having to 'teach herself to be Korean,' which, while not deeply explored, signals an awareness of racial/ethnic identity complexities. These elements align with '+1' on the scale: the episode recognizes and explicitly foregrounds racial dynamics with critique, giving marginalized voices agency and encouraging reflection.","The episode does not merely minimize or evade racial issues ('-1'), nor does it present ambiguous or neutral signals ('0'). The racial dynamics are explicitly addressed, and the narrative clearly critiques the impact of policing on marginalized groups, rather than downplaying or reframing these issues as incidental.","While the episode critiques racism and foregrounds racial dynamics, it does not actively show characters working to dismantle racist structures beyond the immediate removal of police from the ED. There is no broader vision of equity or systemic change ('+2'), nor does the episode offer transformative advocacy or deep empowerment for marginalized groups ('+3'). The critique is present and explicit, but not developed into sustained anti-racist action or systemic solutions."
NA,03,04,NAS03E04,8,+1,"The episode contains explicit references to racial dynamics and bias, most notably in the scene where Casey discusses the impact of police presence in the hospital. Casey, a Black character, recounts personal experiences of racial profiling by police ('making me sit on curbs and face walls', 'handcuffed coming home from work in my scrubs'), and challenges the idea that police increase safety for all, highlighting how their presence can make marginalized groups (undocumented, homeless, trans people) feel less safe. The narrative gives Casey space to voice these experiences and critiques, and Lauren, the white character, is confronted with her own limited perspective ('You didn't just try to ""not all cops"" me now, did you?'). The episode then shows a shift: the police are replaced by bouncers trained in de-escalation, and the narrative frames this as a positive, inclusive solution. Additionally, there is a subplot involving Dr. Helen Sharpe's family and cultural identity, including references to Farsi and Korean mourning customs, which are treated respectfully and foregrounded as meaningful aspects of character experience. These elements align with the '+1' criteria: the episode acknowledges and critiques racial dynamics, foregrounds marginalized voices, and encourages reflection, but does not center on actively dismantling racist systems or offer a transformative vision of equity.","The episode goes beyond minimization or ambiguous presence ('0' or '-1') by explicitly foregrounding racial bias and the impact of systemic racism, particularly through Casey's dialogue and the narrative's critical stance on police presence. The racial dynamics are not evaded or reframed as solely interpersonal; instead, the episode acknowledges their systemic nature and gives marginalized characters agency to articulate their experiences.","While the episode critiques racism and offers a more inclusive alternative to policing, it does not focus on characters actively working to dismantle racist structures ('+2'), nor does it present a transformative or systemic advocacy for change ('+3'). The critique and solutions are localized to the hospital context and do not extend to broader societal or systemic change."
NA,03,04,NAS03E04,9,+1,"The episode features a key subplot where the introduction of police officers into the hospital is critically interrogated by Black and marginalized characters. Casey, a Black nurse, explicitly recounts experiences of racial profiling and expresses discomfort and fear about the police presence, highlighting how it negatively impacts not only Black staff but also undocumented and homeless patients. The narrative gives voice and agency to these concerns, allowing Casey and others to articulate the racialized impact of policing in a healthcare setting. The episode does not leave these issues ambiguous or minimized; instead, it foregrounds them and encourages viewers to reflect on the racial dynamics at play. The resolution—replacing police with bouncers trained in de-escalation—directly responds to these critiques, showing the institution taking steps to address the concerns raised.","The episode does not merely evade or minimize racial issues (-1), nor does it present them as ordinary or unproblematic (-2). Instead, it explicitly acknowledges and critiques the racialized impact of policing, giving marginalized characters space to voice their experiences and shaping the narrative around their perspectives.","While the episode critiques racism and takes steps to address it within the hospital, it does not go so far as to actively promote systemic change or offer a transformative vision of racial justice (+2 or +3). The solutions are local and pragmatic rather than visionary or deeply structural, and the episode does not center a broader anti-racist movement or advocacy."
NA,03,04,NAS03E04,10,+1,"The episode contains explicit references to racial dynamics, particularly in the storyline about increased police presence in the hospital. A Black character, Casey, directly addresses the negative impact of police on marginalized groups, including Black, undocumented, homeless, and trans people, and recounts his own experiences of racial profiling. The narrative gives Casey space to voice these concerns, and his perspective is not dismissed; instead, the episode later shows the hospital replacing police with bouncers, implicitly responding to the critique. Additionally, there is a subplot about a Korean-American character discussing her adoption into a white family and her efforts to connect with her Korean heritage, which is treated with empathy and depth. These elements foreground racial issues and offer critique, aligning with the '+1' criteria: the episode acknowledges and problematizes racism, gives marginalized characters agency, and encourages reflection, but does not center on systemic change or sustained anti-racist action.","The episode does not merely evade or minimize racial issues ('-1'), nor does it leave the racial dynamics ambiguous ('0'). Instead, it explicitly foregrounds racial profiling and the impact of policing, and the narrative responds to these critiques by changing hospital policy, showing clear engagement with the topic.","The episode does not actively promote systemic change or offer a transformative vision of racial equity ('+2' or '+3'). While it critiques and responds to racial injustice, the actions taken (replacing police with bouncers) are pragmatic rather than transformative, and the episode does not depict characters working to dismantle racist structures or advocate for broader systemic change."
NA,04,17,NAS04E17,1,+1,"The episode foregrounds racial dynamics primarily through the storyline involving Leyla, whose refugee status is being revoked due to systemic immigration issues, and through Helen's reflection on the overperformance of hysterectomies on 'people who look like me,' directly referencing racialized medical bias. These moments explicitly acknowledge and critique the presence of systemic racism and bias, giving voice and agency to marginalized characters. The narrative encourages viewers to reflect on these issues, especially through Helen's insistence on bodily autonomy and Leyla's struggle with immigration, which are not treated as isolated or incidental but as significant and problematic. However, while these issues are acknowledged and critiqued, the episode does not depict sustained efforts to dismantle racist structures or offer a transformative vision of equity.","The episode does not merely minimize or evade racial issues (-1); instead, it explicitly raises them, gives space for characters to articulate their experiences, and frames these as systemic problems rather than isolated incidents. The narrative does not leave these issues ambiguous (0) or treat them superficially.","Although the episode critiques racism and foregrounds racial dynamics, it does not actively promote systemic change or depict characters working to dismantle racist structures (+2). The narrative stops short of offering transformative solutions or a vision of equity, and the engagement with racism, while explicit and critical, is not the dominant arc of the episode nor does it reach the depth required for +2 or +3."
NA,04,17,NAS04E17,2,N/A,"The episode, based on the provided subtitles, contains no discernible references—explicit or implicit—to race, ethnicity, or racism. While there is some discussion of immigration status (Leyla's refugee status and risk of deportation), this is framed strictly in terms of legal and bureaucratic obstacles, with no narrative engagement with racial or ethnic identity, prejudice, or systemic racism. There are no scenes, dialogues, or narrative arcs that thematize or even allude to race, racial dynamics, or racism. The episode's focus is on medical emergencies, personal relationships, and legal/immigration struggles, but not on race or racism as a topic.",,
NA,04,17,NAS04E17,3,N/A,"The episode, as reflected in the subtitles, does not contain any explicit or implicit references to race, ethnicity, or racism. The characters' racial identities are not thematized or made relevant to any events, conflicts, or dialogues. The central narrative revolves around a group of hospital staff and friends dealing with a mass drugging incident, medical emergencies, relationship issues, and immigration/legal struggles, but none of these plotlines are framed in racial terms or engage with issues of racism, prejudice, or racial inequality. Even the storyline involving Leyla's immigration status is focused on legal and financial obstacles, not on racialized dynamics or discrimination. There are no stereotypes, no critical or uncritical references to race, and no narrative signals that would allow for a reading of the episode as engaging with racism in any form.",,
NA,04,17,NAS04E17,4,+1,"The episode explicitly foregrounds racial dynamics and critiques systemic bias, particularly in the storyline involving Helen's medical crisis and her discussion of hysterectomies being overperformed on people who look like her. This moment directly acknowledges racialized medical disparities and the legacy of bias in healthcare. Additionally, Leyla's storyline addresses the precariousness of refugee status and immigration laws, highlighting structural barriers faced by marginalized groups. Both narratives give voice and agency to characters from marginalized backgrounds, encouraging viewers to reflect on racial issues and their societal impact. However, while these issues are recognized and problematized, the episode does not depict characters actively dismantling racist structures or offer a transformative vision of equity.","The episode does not merely minimize or evade racial issues (-1); instead, it foregrounds them through explicit dialogue and narrative focus. The racial dynamics are not left implicit or ambiguous (0), but are directly addressed and critiqued.","The episode does not reach the level of '+2' because, while it critiques racism and highlights inequities, it does not show sustained narrative arcs of characters actively working to dismantle racist systems or promote a broader vision of equity and justice. The representation is critical but not transformative or advocacy-driven as described for '+2' or '+3'."
NA,04,17,NAS04E17,5,+1,"The episode features an explicit discussion of racialized medical practices, specifically the overperformance of hysterectomies on people who 'look like me,' which foregrounds the issue of racial bias in healthcare. The character voices her concern about systemic racial disparities, and the narrative gives space to this critique without dismissing or reframing it as incidental. Additionally, the subplot involving Leyla's immigration status and the barriers she faces as a refugee in the U.S. further highlights the intersection of race, nationality, and systemic inequity. These moments are presented with empathy and critical framing, encouraging the audience to reflect on the impact of racism and structural bias. However, while these issues are acknowledged and critiqued, the episode does not show sustained efforts to dismantle racist structures or offer transformative solutions, nor does it center its entire narrative on systemic change.","The episode does not merely minimize or evade racial issues (-1); instead, it foregrounds them through explicit dialogue and narrative focus, particularly in the medical racism and immigration subplots. The narrative does not treat these issues as isolated or superficial, but rather as meaningful and relevant to the characters' experiences.","The episode does not reach +2 because, although it critiques racism and highlights inequity, it stops short of actively promoting systemic change or showing characters working to dismantle racist structures. The representation is critical and empathetic but does not offer a broader vision of equity or transformative advocacy as described in the +2 and +3 criteria."
NA,04,17,NAS04E17,6,+1,"The episode foregrounds racial dynamics primarily through the storyline involving Leyla, whose refugee status is being revoked, and her struggle to remain in the US. The narrative makes explicit reference to the impact of new immigration laws, the backlog in legal aid, and the systemic nature of the issue ('With the new laws, I'm not the only one this is happening to'). Leyla's experience is given voice and agency, and her emotional and practical struggle is treated with seriousness and empathy. Additionally, Helen, a Black woman, discusses the overperformance of hysterectomies on 'people who look like me,' directly referencing racialized medical bias and historical injustice. Both storylines explicitly acknowledge and critique systemic racial and ethnic bias, and encourage the viewer to reflect on these issues. However, while these elements are present and critically framed, the episode does not move into sustained advocacy, systemic challenge, or offer transformative solutions.","The episode does not merely minimize, evade, or leave racial issues implicit (0 or -1); instead, it explicitly foregrounds them, gives marginalized characters voice, and frames their struggles as systemic rather than isolated or incidental.","Although the episode critiques racism and highlights systemic issues, it does not actively show characters working to dismantle racist structures, nor does it offer a vision of equity or transformative change ('+2' or '+3'). The narrative's stance is critical and empathetic, but its engagement remains at the level of recognition and critique rather than advocacy or systemic challenge."
NA,04,17,NAS04E17,7,-1,"The episode includes some relevant content concerning race and immigration, most notably in the subplot involving Leyla's threatened refugee status and the mention of hysterectomies being overperformed on 'people who look like me.' However, these issues are treated primarily as personal obstacles for the characters rather than as manifestations of broader systemic racism. The narrative does not explore or critique the racialized structures underlying these problems, nor does it meaningfully address the social or institutional forces at play. Instead, the focus remains on individual struggles and interpersonal support. The episode also features a diverse cast, but racial dynamics are generally minimized or reframed as personal or bureaucratic challenges, rather than as issues of structural inequality. There is no overt normalization or endorsement of racial inequality, but the text tends to evade deeper engagement with race as a systemic force.","The episode does not normalize racial inequality (-2) or endorse discriminatory attitudes (-3). While it avoids a deep engagement with systemic racism, it does not present racialized dynamics as ordinary or unproblematic, nor does it validate or reward discriminatory behavior. The narrative is sympathetic to the struggles of marginalized characters, even if it does not fully address the systemic context.","The episode does not reach a '0' (ambiguous) because there are clear, if limited, references to race and immigration that are relevant to the story. However, it does not rise to a '+1' because it does not explicitly foreground or critique racial dynamics; the issues are acknowledged but not critically explored, and the narrative does not encourage viewers to reflect on racial issues or their societal impact."
NA,04,17,NAS04E17,8,+1,"The episode foregrounds racial dynamics primarily through the storyline involving Leyla, whose refugee status is being revoked due to a paperwork glitch and changing laws. The narrative explicitly addresses the systemic barriers faced by immigrants, especially those from marginalized backgrounds, and highlights the emotional and financial toll of fighting deportation. Leyla's dialogue about how 'with the new laws, I'm not the only one this is happening to' signals an awareness of broader structural issues. Additionally, Helen's discussion about hysterectomies being 'overperformed for decades on people who look like me' directly references medical racism and historical bias against women of color. Both storylines give voice and agency to marginalized characters, inviting viewers to reflect on the impact of racism and bias in healthcare and immigration. These elements align with the '+1' criteria: explicit acknowledgment and critique of racial dynamics, giving marginalized characters agency, and encouraging reflection.","The episode does not merely minimize or evade racial issues ('-1'), nor does it leave them ambiguous ('0'). Instead, it explicitly thematizes and critiques both medical and immigration-related racial bias, making the racial dynamics central to the narrative rather than superficial or incidental.","While the episode critiques and foregrounds racism, it does not show characters actively working to dismantle racist structures or offer a transformative vision of equity ('+2' or '+3'). The focus remains on recognizing and discussing the issues rather than depicting sustained anti-racist action or systemic change."
