series,season,episode,episode_code,bool_response,explanation
CM,5,8,CMS05E08,No,
CM,5,9,CMS05E09,No,
CM,5,10,CMS05E10,No,
CM,5,11,CMS05E11,No,
CM,5,12,CMS05E12,No,
CM,5,13,CMS05E13,No,
CM,5,14,CMS05E14,No,
CM,5,15,CMS05E15,Yes,"There are implicit references to racial prejudice and systemic inequalities. For example, Siana Fredericks, a pregnant woman experiencing a sickle cell crisis, refuses care from anyone but her trusted OB, stating, 'I've had too many doctors accuse me of using my pain as an excuse to get high.' This reflects a well-documented pattern of racial bias in healthcare, particularly toward Black patients with sickle cell disease, who are often undertreated for pain due to prejudiced assumptions about drug-seeking behavior. Additionally, the episode features a Black male prisoner who is subjected to a botched execution and then receives medical care only to be returned for another execution, touching on themes of systemic injustice and the dehumanization of incarcerated individuals, which can be tied to racial disparities in the criminal justice system. While there are no explicit mentions of race or racism, these storylines strongly imply the presence of racial prejudice and systemic discrimination."
CM,5,16,CMS05E16,No,
CM,5,17,CMS05E17,No,
CM,5,18,CMS05E18,No,
CM,5,19,CMS05E19,No,
CM,5,20,CMS05E20,No,
CM,6,1,CMS06E01,Yes,"There are explicit and implicit references to racism and racial prejudice in the subtitles. For example, Mr. Lieu recounts an incident where a woman in a parking lot yelled at him and his daughter, 'You brought COVID here! It's your fault! Go back where you're from!'—a clear instance of anti-Asian racism and xenophobia. Additionally, April and Ethan discuss how many of their patients are dying at twice the rate due to discrimination, poverty, and terrible health care, referencing systemic racial inequalities and the disproportionate impact of COVID-19 on marginalized communities."
CM,6,2,CMS06E02,Yes,"The episode contains several explicit and implicit references to racism, racial discrimination, and systemic inequalities. The storyline involving Aisha Barnes, a Black pregnant woman incarcerated for a minor parole violation (a broken taillight), highlights issues of racial bias and the disproportionate impact of the criminal justice system on people of color. Her complaints of illness are ignored in jail, and she is shackled during medical care, reflecting systemic mistreatment. The dialogue between Dr. Manning and Dr. Douglas about the difference in treatment between themselves and Aisha ('We both assault an officer. She gets separated from her baby, I get a slap on the wrist. I wonder what the difference is.') directly points to racial disparities. The episode also references the challenges of compassionate release and the lack of compassion in the justice system, which disproportionately affects people of color. These elements collectively indicate the presence of racism and racial prejudice, both explicitly and implicitly."
CM,6,3,CMS06E03,No,
CM,6,4,CMS06E04,No,
CM,6,5,CMS06E05,Yes,"There are both explicit and implicit references to race and racial bias in the episode. Explicitly, April discusses how clinical trial exclusion criteria disproportionately affect black patients, stating that only 3% of participants are black despite black people being 30% more likely to die from heart failure, and that 'biases like this' are to blame. There is also a discussion about how black men often have higher serum creatinine, which can unfairly exclude them from trials. Additionally, Maggie reflects on the unique burdens of being a black woman, referencing the 'necessary armor' and expectations placed on her due to her race and gender. These moments directly address systemic inequalities and the lived experience of racial bias."
CM,6,6,CMS06E06,No,
CM,6,7,CMS06E07,No,
CM,6,8,CMS06E08,No,
CM,6,9,CMS06E09,No,
CM,6,10,CMS06E10,Yes,"There is an implicit reference to racism or racial prejudice when Crockett Marcel reveals his birth name is Darioush Jahanbani and that his parents changed his and his sister's names to make it easier for them in school. This suggests they anticipated or experienced discrimination or prejudice based on their ethnic-sounding names, which is a form of racial or ethnic bias. Additionally, the episode includes a character named Arash Mehti, who is depicted as an immigrant whose father 'gave up everything to come to America,' and there is tension around cultural expectations and assimilation, which can also imply experiences of racial or ethnic prejudice, even if not explicitly discussed."
CM,6,11,CMS06E11,No,
CM,6,12,CMS06E12,No,
CM,6,13,CMS06E13,Yes,"There are implicit references to systemic racial and socioeconomic inequalities. For example, Jake's mother is described as low-income, struggling to keep food on the table, and working an overnight custodial shift, leaving her children alone. The hospital executive, Ms. Goodwin, offers financial assistance and a day-shift custodial job to help her, which highlights systemic barriers often faced by people of color and marginalized communities. While race is not explicitly mentioned, the combination of low-income status, single motherhood, and custodial work are often associated with racialized systemic inequalities in the U.S. Additionally, the episode features characters with names and roles (e.g., Ms. Goodwin, Maggie, Vanessa) that may suggest racial diversity, and the narrative explores issues of access, support, and bias that are frequently linked to racial and socioeconomic discrimination."
CM,6,14,CMS06E14,No,
CM,6,15,CMS06E15,No,
CM,6,16,CMS06E16,Yes,"There is an explicit reference to racism and racial prejudice near the end of the subtitles. Ms. Goodwin says to Dr. Choi, 'when I saw you get shot this morning, I immediately thought, ""hate crime."" And I've since learned that wasn't the case.' This directly references the possibility of a racially motivated attack, indicating that the topic of racism and racial prejudice is both mentioned and considered within the episode. Additionally, there are implicit references to systemic bias and concerns about fairness in hiring and advancement (e.g., Vanessa not wanting anyone to know Maggie is her mother to avoid assumptions about favoritism), but the explicit mention of a potential hate crime is sufficient."
CM,7,1,CMS07E01,Yes,"There are explicit references to racial health disparities and systemic inequalities. For example, the dialogue about sickle cell disease notes that less than 50% of kids get screened, while kids with cystic fibrosis (a disease more common among white patients) get more comprehensive care. A character explicitly states, 'most CF patients are white,' highlighting racial disparities in healthcare. Additionally, there are implicit references to stereotypes and social issues, such as gang involvement and homelessness, which often intersect with race in the context of urban settings. These elements suggest the presence of racial prejudice and systemic racism."
CM,7,2,CMS07E02,No,
CM,7,3,CMS07E03,No,
CM,7,4,CMS07E04,Yes,"There are explicit references to racial bias and systemic racism in psychiatry. Dr. Charles states that African Americans, particularly males, are misdiagnosed with schizophrenia far more than whites, and are perceived as dangerous, leading to higher medication doses and inappropriate treatment. This is a direct discussion of racial prejudice and systemic inequality in healthcare. Additionally, the episode touches on issues of policing and mental health, with implications about the risks faced by Black individuals when police are called to mental health crises."
CM,7,5,CMS07E05,No,
CM,7,6,CMS07E06,No,
CM,7,7,CMS07E07,No,
CM,7,8,CMS07E08,No,
CM,7,9,CMS07E09,No,
CM,7,10,CMS07E10,No,
CM,7,11,CMS07E11,Yes,"There are implicit references to racial prejudice and potential systemic inequalities. For example, the scene with Dylan, Carmen, and Terrell involves a Black family, and Terrell expresses distrust toward Dylan, a former police officer, referencing a past arrest: 'Yeah, and you arrested me!... You watched them put them cuffs on me.' This exchange suggests a history of strained relationships between Black men and law enforcement, which is a common theme in discussions of racial bias and systemic racism. Additionally, the family's financial struggles and hesitation to seek medical care for their son ('money's tight') can be read as an implicit reference to socioeconomic and potentially racial disparities in healthcare access. While there are no explicit discussions of racism, the context and subtext imply its presence."
CM,7,12,CMS07E12,No,
CM,7,13,CMS07E13,No,
CM,7,14,CMS07E14,Yes,"There is an implicit reference to systemic inequalities related to race and education. In the subplot about Terrell, a Black male character, it is revealed that he likely has undiagnosed dyslexia, which went unnoticed due to lack of school funding and support. The dialogue ('our school? They didn't have the funding for that kind of thing') and the context (a Black man dropping out, feeling 'stupid,' and not receiving help) suggest systemic educational disparities that disproportionately affect communities of color. While racism is not explicitly mentioned, the depiction of structural barriers and their impact on a Black character's life implies racial inequality and the effects of systemic racism."
CM,7,15,CMS07E15,No,
CM,7,16,CMS07E16,No,
CM,7,17,CMS07E17,No,
CM,7,18,CMS07E18,No,
CM,7,19,CMS07E19,Yes,"The topic of racism is explicitly mentioned and discussed in the storyline involving Luis Pena and the protest against the relocation of a metal shredding facility from a white affluent neighborhood to a lower income (implied to be a community of color) neighborhood. The term 'environmental racism' is used directly, and the conversation centers on systemic inequalities and discrimination based on race and socioeconomic status."
CM,7,20,CMS07E20,No,
CM,7,21,CMS07E21,No,
CM,7,22,CMS07E22,No,
CM,8,1,CMS08E01,No,
CM,8,2,CMS08E02,No,
CM,8,3,CMS08E03,No,
CM,8,4,CMS08E04,No,
CM,8,5,CMS08E05,No,
CM,8,6,CMS08E06,No,
CM,8,7,CMS08E07,No,
CM,8,8,CMS08E08,Yes,"There are several implicit references to systemic inequalities and racial/ethnic prejudice throughout the episode. The storyline involving Gloria, who is likely undocumented, highlights fear of the police and lack of trust in the system due to her immigration status—issues often tied to racial and ethnic discrimination. Dr. Cuevas reveals she is a DACA recipient, discussing the precariousness of her status and the need to keep it secret, which reflects experiences of discrimination and marginalization faced by immigrants, many of whom are people of color. Additionally, the storyline about Buddy, the homeless patient, addresses systemic neglect and disparities in healthcare access, which often disproportionately affect racial and ethnic minorities. The episode also touches on the skepticism about whether the system will protect marginalized individuals equally. These elements together suggest the presence of racial prejudice and systemic discrimination, even if not always explicitly labeled as such."
CM,8,9,CMS08E09,No,
CM,8,10,CMS08E10,No,
CM,8,11,CMS08E11,Yes,"The episode contains explicit and implicit references to racism and racial prejudice. Aaron, a young Black man, is immediately suspected of a robbery based on a vague description ('male, Black, average height, medium build, hoodie'), which is acknowledged by the characters as being applicable to many people and leading to bias ('they've already made up their minds'). Aaron himself expresses distrust in the system, stating that people like him 'gonna get blamed for it' regardless of the truth, referencing systemic racial bias and the presumption of guilt for Black individuals. The episode also discusses the impact of systemic issues, such as the foster care system and criminal justice, on people of color. These elements indicate both explicit and implicit depictions of racial prejudice and systemic inequality."
CM,8,12,CMS08E12,Yes,"There is an implicit reference to racial prejudice in the interaction between Daniel and Liliana. When Daniel introduces Liliana as a singer to another character who recognizes her as 'housekeeping,' Liliana later questions Daniel about whether he did this so the man wouldn't just think she was a housekeeper. This exchange implies an awareness of racial or ethnic stereotyping and the potential for prejudice based on her job and possibly her background. The scene suggests the presence of implicit bias and the discomfort it causes, which falls under the broader topic of racial prejudice."
CM,8,13,CMS08E13,No,
CM,8,14,CMS08E14,No,
CM,8,15,CMS08E15,No,
CM,8,16,CMS08E16,Yes,"The subtitles include several references that suggest the presence of racism, racial discrimination, or prejudice, both explicitly and implicitly. The discussion of Dr. Cuevas' undocumented immigration status and DACA renewal highlights systemic issues affecting immigrants, many of whom are racial or ethnic minorities. The storyline involving Maria and her family, who are Spanish-speaking and face barriers in healthcare access, language, and insurance coverage, implies systemic inequalities and potential discrimination based on ethnicity and immigration status. The family's fear of hospitals and the insurance company's refusal to cover care at a better-equipped hospital further suggest disparities that disproportionately affect minority and immigrant communities. These elements collectively indicate the presence of racial or ethnic prejudice and systemic discrimination."
CM,8,17,CMS08E17,No,
CM,8,18,CMS08E18,No,
CM,8,19,CMS08E19,No,
CM,8,20,CMS08E20,No,
CM,8,21,CMS08E21,No,
CM,8,22,CMS08E22,No,
CM,9,1,CMS09E01,No,
CM,9,2,CMS09E02,Yes,"There are implicit references to racial prejudice and discrimination in the episode. The storyline involving Luis Obrador and the group of Venezuelan migrants includes dialogue about their immigration status, with one character (Wade Martin) overhearing that Luis 'might be here illegally' and wanting to press charges, expressing concern about how it might affect his insurance. Wade later expresses resentment about resources being allocated to migrants, referencing his daughter's school gym being used as a shelter and feeling that 'nobody's looking out for us.' These moments reflect xenophobia and implicit racial/ethnic bias against migrants, which are forms of racial prejudice and discrimination. Additionally, the mention of a 'coyote' and the focus on migrants' health and legal status further imply systemic issues related to race and ethnicity."
CM,9,3,CMS09E03,No,
CM,9,4,CMS09E04,No,
CM,9,5,CMS09E05,No,
CM,9,6,CMS09E06,No,
CM,9,7,CMS09E07,No,
CM,9,8,CMS09E08,No,
CM,9,9,CMS09E09,No,
CM,9,10,CMS09E10,No,
CM,9,11,CMS09E11,No,
CM,9,12,CMS09E12,No,
CM,9,13,CMS09E13,No,
CM,10,1,CMS10E01,No,
CM,10,2,CMS10E02,No,
CM,10,3,CMS10E03,Yes,"There is an explicit reference to racial bias in healthcare when Maggie says, 'I've had the experience of navigating this medical world as a Black woman. Usually means that your concerns get dismissed.' This indicates that the episode addresses the topic of racial prejudice and discrimination, particularly in the context of medical care."
CM,10,4,CMS10E04,No,
CM,10,5,CMS10E05,No,
CM,10,6,CMS10E06,No,
CM,10,7,CMS10E07,No,
CM,10,8,CMS10E08,No,
GA,1,1,GAS01E01,No,
GA,1,2,GAS01E02,Yes,"There are several implicit references to race and ethnicity throughout the episode. For example, there is a scene involving a Chinese-speaking patient, Mrs. Lu, where the doctors struggle to communicate due to language barriers, and it is revealed she is undocumented and fears deportation ('no... jail', 'You're illegal'). This highlights issues of systemic inequality and discrimination faced by immigrants. Additionally, there is a brief exchange where Cristina, who is Korean, is asked to translate for a Chinese patient, and she points out the assumption based on her ethnicity. These moments suggest the presence of racial and ethnic prejudice and the challenges faced by minorities in healthcare settings."
GA,1,3,GAS01E03,No,
GA,1,4,GAS01E04,No,
GA,1,5,GAS01E05,No,
GA,1,6,GAS01E06,No,
GA,1,7,GAS01E07,No,
GA,1,8,GAS01E08,No,
GA,1,9,GAS01E09,No,
GA,2,1,GAS02E01,No,
GA,2,2,GAS02E02,Yes,"There is an implicit reference to race when the characters discuss 'Black Judy' dolls, noting the version 'before they gave her long hair. Back when she had the Afro.' The mention of a Black version of a doll and the specific reference to her Afro and collectibility touches on racial representation and stereotypes in toys. While the episode does not feature overt racism or racial prejudice, this exchange acknowledges racial difference and the history of racialized marketing in American culture, which can be considered an implicit reference to race and its social implications."
GA,2,3,GAS02E03,No,
GA,2,4,GAS02E04,No,
GA,2,5,GAS02E05,Yes,"There is an implicit reference to racial and cultural prejudice in the storyline involving Anna Chue and her Hmong family. The medical team struggles to understand and respect the family's cultural and spiritual beliefs regarding illness and healing, and there are moments where the family's traditions are dismissed or misunderstood (e.g., 'Spare me the white-girl, cultural-divide love,' and the need to contact Social Services to explain Hmong beliefs). The dialogue highlights cultural bias and the challenges of navigating systemic healthcare practices that may not accommodate non-Western traditions, which can be considered a form of racial or ethnic prejudice."
GA,2,6,GAS02E06,No,
GA,2,7,GAS02E07,No,
GA,2,8,GAS02E08,No,
GA,2,9,GAS02E09,Yes,"There are a few implicit references to race and racial stereotypes. The most notable is the repeated use of the nickname 'the Nazi' for Dr. Bailey, who is a Black woman. While the nickname is not a racial slur, its use in reference to a Black character can carry problematic and racially insensitive connotations, especially considering the historical context. Additionally, there are subtle references to cultural backgrounds, such as Dr. Burke mentioning his mother owns a restaurant in Alabama (he is also a Black character), and a comment about Meredith being a 'WASP' (White Anglo-Saxon Protestant), which is a reference to ethnicity and class. While there is no explicit discussion of racism or racial prejudice, these elements suggest that race and racial identity are present and, in the case of the nickname, potentially problematic."
GA,2,10,GAS02E10,No,
GA,2,11,GAS02E11,No,
GA,2,12,GAS02E12,No,
GA,2,13,GAS02E13,No,
GA,2,14,GAS02E14,No,
GA,2,15,GAS02E15,No,
GA,2,16,GAS02E16,No,
GA,2,17,GAS02E17,No,
GA,2,18,GAS02E18,No,
GA,2,19,GAS02E19,No,
GA,2,20,GAS02E20,No,
GA,2,21,GAS02E21,No,
GA,2,22,GAS02E22,No,
GA,2,23,GAS02E23,No,
GA,2,24,GAS02E24,No,
GA,2,25,GAS02E25,No,
GA,2,26,GAS02E26,No,
GA,2,27,GAS02E27,No,
GA,3,1,GAS03E01,No,
GA,3,2,GAS03E02,Yes,"There is an explicit discussion about the use of the term 'nazi' as a nickname for Dr. Bailey, with Mrs. Burke pointing out that the Nazis were responsible for a racist genocide and questioning the appropriateness of using that term, especially towards a woman of color. This directly references racism and racial prejudice. Additionally, Mrs. Burke's comments to Cristina about being a woman of color and a doctor further touch on issues of race and identity, making the topic of racism present in the episode."
GA,3,3,GAS03E03,No,
GA,3,4,GAS03E04,No,
GA,3,5,GAS03E05,No,
GA,3,6,GAS03E06,No,
GA,3,7,GAS03E07,No,
GA,3,8,GAS03E08,No,
GA,3,9,GAS03E09,No,
GA,3,10,GAS03E10,No,
GA,3,11,GAS03E11,No,
GA,3,12,GAS03E12,No,
GA,3,13,GAS03E13,No,
GA,3,14,GAS03E14,No,
GA,3,15,GAS03E15,No,
GA,3,16,GAS03E16,No,
GA,3,17,GAS03E17,No,
GA,3,18,GAS03E18,No,
GA,3,19,GAS03E19,No,
GA,3,20,GAS03E20,No,
GA,3,21,GAS03E21,No,
GA,3,22,GAS03E22,No,
GA,3,23,GAS03E23,No,
GA,3,24,GAS03E24,No,
GA,3,25,GAS03E25,No,
GA,4,1,GAS04E01,No,
GA,4,2,GAS04E02,No,
GA,4,3,GAS04E03,No,
GA,4,4,GAS04E04,Yes,"There are several implicit references to race and racial identity. The term 'ghetto-fabulous' is used, which is a phrase often associated with African American culture and can be considered a racialized stereotype. Additionally, there are references to 'trailer park' and 'boarding school' as contrasting backgrounds, which, while more class-based, can carry racial connotations in certain contexts. The Chief's niece, Camille, is a Black character, and her storyline involves family dynamics and medical care, though no explicit racial discrimination is shown. The use of 'Nazi' as a nickname for a strict doctor is also problematic, though not directly racial. Overall, while there are no explicit discussions of racism or racial prejudice, the use of 'ghetto-fabulous' and the depiction of certain stereotypes suggest an implicit presence of racialized language and ideas."
GA,4,5,GAS04E05,No,
GA,4,6,GAS04E06,Yes,"There is an explicit reference to racial discrimination when Dr. Hahn compares the 'gentlemen's evening' (an event where only male attendings are invited) to when law firms used to have country club weekends and fail to invite the black associates. This analogy directly references historical racial exclusion and discrimination, thus bringing up the topic of racism."
GA,4,7,GAS04E07,No,
GA,4,8,GAS04E08,No,
GA,4,9,GAS04E09,Yes,"The subtitles contain explicit references to racism and racial prejudice. For example, a patient requests a 'white doctor' and expresses distrust of non-white doctors, and it is revealed he has a swastika tattoo and is described as a white supremacist. Dr. Bailey and Dr. Yang discuss 'rising above' while treating him, and Bailey refers to him as a 'Nazi.' These are clear depictions of racial prejudice and discrimination."
GA,4,10,GAS04E10,Yes,"The episode explicitly addresses racism and racial prejudice. A major plotline involves Dr. Bailey, a Black woman, saving the life of a white supremacist patient who has a swastika tattoo. The dialogue directly references the patient's racist beliefs, his discomfort with his Black partner, and the personal cost to Dr. Bailey in treating him. There is also a scene where a character accuses another of compromising their education because of the color of their skin. These elements make both explicit and implicit references to racism, racial discrimination, and prejudice."
GA,4,11,GAS04E11,No,
GA,4,12,GAS04E12,No,
GA,4,13,GAS04E13,No,
GA,4,14,GAS04E14,No,
GA,4,15,GAS04E15,Yes,"There is an explicit reference to racism and racial prejudice when a character says: 'Is this gonna be a story about how you were a struggling black med student who wanted to be a surgeon and no one would give you a chance and Walter Tapley did? He mentored you, without him you wouldn't be in this hospital?' This directly references the chief's experience with racial discrimination in medicine and the role of mentorship in overcoming those barriers."
GA,4,16,GAS04E16,No,
GA,4,17,GAS04E17,No,
GA,5,1,GAS05E01,No,
GA,5,2,GAS05E02,No,
GA,5,3,GAS05E03,No,
GA,5,4,GAS05E04,No,
GA,5,5,GAS05E05,No,
GA,5,6,GAS05E06,No,
GA,5,7,GAS05E07,No,
GA,5,8,GAS05E08,Yes,"There is an explicit reference to race when Dr. Dixon asks, 'Were the other ones taken off my case? What other ones? The black one, the male one, the one with yellow hair.' This categorization of colleagues by race and gender is an explicit mention of race and could be interpreted as racial bias or prejudice. Additionally, there are implicit references to cultural and spiritual beliefs of a Navajo patient, and the need to respect those beliefs, which touches on issues of cultural sensitivity and potential for discrimination based on ethnicity."
GA,5,9,GAS05E09,No,
GA,5,10,GAS05E10,Yes,"There is an explicit reference to race and racial identity when a character says, 'I was young, gifted and black, and everybody knew it. The attendings knew it, the Chief knew it.' This statement acknowledges the character's racial identity as a notable factor in their experience, which can imply the presence or awareness of racial dynamics in their professional environment. While there is no direct mention of racism or discrimination in this excerpt, the explicit mention of being 'young, gifted and black' in a context about recognition and achievement in a competitive environment suggests an awareness of race as a meaningful aspect, potentially alluding to racial prejudice or the need to stand out as a minority."
GA,5,11,GAS05E11,No,
GA,5,12,GAS05E12,No,
GA,5,13,GAS05E13,No,
GA,5,14,GAS05E14,No,
GA,5,15,GAS05E15,No,
GA,5,16,GAS05E16,No,
GA,5,17,GAS05E17,No,
