episode_code,n_evaluations,n_distinct_answers,n_na,modal_answer,median,iqr,range,std,unanimous,valid
ERS01E07,10,2,6,N/A,-1.0,0.0,0.0,0.0,False,False
ERS01E08,10,2,5,-1,-1.0,0.0,0.0,0.0,False,True
ERS01E09,10,1,10,N/A,,,,,True,False
ERS01E10,10,1,10,N/A,,,,,True,False
ERS01E11,10,1,10,N/A,,,,,True,False
ERS01E12,10,2,0,-1,-1.0,0.0,2.0,0.6324555320336759,False,True
ERS01E13,10,1,10,N/A,,,,,True,False
ERS01E17,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS01E21,10,2,5,-1,-1.0,0.0,0.0,0.0,False,True
ERS02E02,10,2,6,N/A,-1.0,0.0,0.0,0.0,False,False
ERS02E10,10,1,10,N/A,,,,,True,False
ERS02E11,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS02E14,10,1,10,N/A,,,,,True,False
ERS02E15,10,2,0,-1,-1.0,0.0,2.0,0.6324555320336759,False,True
ERS02E18,10,2,8,N/A,-2.0,0.0,0.0,0.0,False,False
ERS02E21,10,1,10,N/A,,,,,True,False
ERS03E01,10,2,4,-1,-1.0,0.0,0.0,0.0,False,True
ERS03E05,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS03E08,10,1,10,N/A,,,,,True,False
ERS03E10,10,1,10,N/A,,,,,True,False
ERS03E11,10,1,10,N/A,,,,,True,False
ERS03E12,10,2,0,1,1.0,0.0,2.0,0.8432740427115679,False,True
ERS03E14,10,1,10,N/A,,,,,True,False
ERS03E16,10,1,10,N/A,,,,,True,False
ERS03E17,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS03E20,10,3,6,N/A,-1.0,0.25,1.0,0.5,False,False
ERS03E22,10,2,2,0,0.0,0.0,0.0,0.0,False,True
ERS04E03,10,1,10,N/A,,,,,True,False
ERS04E05,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS04E06,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS04E09,10,2,7,N/A,-1.0,0.0,0.0,0.0,False,False
ERS04E10,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS04E11,10,1,10,N/A,,,,,True,False
ERS04E12,10,2,4,-1,-1.0,0.0,0.0,0.0,False,True
ERS04E16,10,1,10,N/A,,,,,True,False
ERS04E17,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS04E21,10,2,0,1,1.0,0.0,2.0,0.6324555320336759,False,True
ERS04E22,10,1,10,N/A,,,,,True,False
ERS05E02,10,1,10,N/A,,,,,True,False
ERS05E03,10,1,10,N/A,,,,,True,False
ERS05E04,10,2,8,N/A,-1.0,0.0,0.0,0.0,False,False
ERS05E06,10,1,10,N/A,,,,,True,False
ERS05E08,10,1,10,N/A,,,,,True,False
ERS05E09,10,1,10,N/A,,,,,True,False
ERS05E10,10,1,10,N/A,,,,,True,False
ERS05E12,10,1,10,N/A,,,,,True,False
ERS05E15,10,1,10,N/A,,,,,True,False
ERS05E16,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS05E17,10,1,10,N/A,,,,,True,False
ERS05E18,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS05E19,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS05E22,10,2,4,-1,-1.0,0.0,0.0,0.0,False,True
ERS06E01,10,2,7,N/A,-1.0,0.0,0.0,0.0,False,False
ERS06E02,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS06E03,10,1,10,N/A,,,,,True,False
ERS06E05,10,1,10,N/A,,,,,True,False
ERS06E08,10,1,10,N/A,,,,,True,False
ERS06E14,10,1,10,N/A,,,,,True,False
ERS06E18,10,1,10,N/A,,,,,True,False
ERS06E20,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS06E22,10,1,10,N/A,,,,,True,False
ERS07E01,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS07E03,10,2,7,N/A,0.0,0.0,0.0,0.0,False,False
ERS07E05,10,2,0,-1,0.0,2.0,2.0,1.0540925533894598,False,True
ERS07E06,10,1,10,N/A,,,,,True,False
ERS07E07,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS07E08,10,1,10,N/A,,,,,True,False
ERS07E09,10,1,10,N/A,,,,,True,False
ERS07E11,10,3,1,-1,-1.0,0.0,2.0,0.6666666666666666,False,True
ERS07E12,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS07E14,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS07E17,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS08E03,10,1,10,N/A,,,,,True,False
ERS08E05,10,1,10,N/A,,,,,True,False
ERS08E12,10,2,9,N/A,0.0,0.0,0.0,,False,False
ERS08E13,10,2,8,N/A,-1.0,0.0,0.0,0.0,False,False
ERS08E16,10,1,10,N/A,,,,,True,False
ERS08E22,10,2,2,-1,-1.0,0.0,0.0,0.0,False,True
ERS09E01,10,3,1,-1,-1.0,0.0,1.0,0.3333333333333333,False,True
ERS09E04,10,2,7,N/A,-1.0,0.0,0.0,0.0,False,False
ERS09E06,10,1,0,-2,-2.0,0.0,0.0,0.0,True,True
ERS09E07,10,2,0,-1,-1.0,0.0,2.0,0.6324555320336759,False,True
ERS09E11,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS09E13,10,2,0,-1,-1.0,1.5,2.0,0.9660917830792958,False,True
ERS09E14,10,1,10,N/A,,,,,True,False
ERS09E15,10,2,7,N/A,1.0,0.0,0.0,0.0,False,False
ERS09E16,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS09E17,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS09E18,10,1,0,-2,-2.0,0.0,0.0,0.0,True,True
ERS09E20,10,2,2,-1,-1.0,0.0,0.0,0.0,False,True
ERS09E22,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS10E01,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS10E02,10,2,0,1,1.0,0.0,2.0,0.6324555320336759,False,True
ERS10E04,10,1,0,-2,-2.0,0.0,0.0,0.0,True,True
ERS10E05,10,1,10,N/A,,,,,True,False
ERS10E06,10,1,10,N/A,,,,,True,False
ERS10E07,10,2,7,N/A,-1.0,0.0,0.0,0.0,False,False
ERS10E08,10,1,10,N/A,,,,,True,False
ERS10E09,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS10E10,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS10E14,10,1,10,N/A,,,,,True,False
ERS10E16,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS10E18,10,1,10,N/A,,,,,True,False
ERS10E19,10,3,4,1,1.0,0.75,1.0,0.5163977794943222,False,True
ERS10E21,10,1,10,N/A,,,,,True,False
ERS10E22,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS11E02,10,1,10,N/A,,,,,True,False
ERS11E03,10,2,7,N/A,-1.0,0.0,0.0,0.0,False,False
ERS11E09,10,1,10,N/A,,,,,True,False
ERS11E10,10,1,0,-2,-2.0,0.0,0.0,0.0,True,True
ERS11E13,10,1,10,N/A,,,,,True,False
ERS11E15,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS11E16,10,1,10,N/A,,,,,True,False
ERS11E17,10,3,4,1,1.0,0.0,2.0,0.816496580927726,False,True
ERS11E18,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS11E19,10,1,10,N/A,,,,,True,False
ERS11E20,10,2,3,-1,-1.0,0.0,0.0,0.0,False,True
ERS11E21,10,2,1,1,1.0,0.0,0.0,0.0,False,True
ERS12E02,10,1,10,N/A,,,,,True,False
ERS12E05,10,1,10,N/A,,,,,True,False
ERS12E09,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS12E10,10,3,4,-1,-1.0,0.75,1.0,0.5163977794943223,False,True
ERS12E12,10,2,0,0,0.0,0.0,1.0,0.42163702135578396,False,True
ERS12E14,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS12E15,10,2,0,1,1.0,1.0,1.0,0.5163977794943222,False,True
ERS12E17,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS12E18,10,2,0,-1,-1.0,0.0,2.0,0.8432740427115678,False,True
ERS12E19,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS12E20,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS13E03,10,1,10,N/A,,,,,True,False
ERS13E04,10,1,10,N/A,,,,,True,False
ERS13E05,10,2,9,N/A,-2.0,0.0,0.0,,False,False
ERS13E06,10,1,10,N/A,,,,,True,False
ERS13E07,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS13E10,10,1,10,N/A,,,,,True,False
ERS13E12,10,1,10,N/A,,,,,True,False
ERS13E15,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS13E17,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS13E20,10,1,10,N/A,,,,,True,False
ERS13E23,10,1,10,N/A,,,,,True,False
ERS14E02,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS14E07,10,1,0,-2,-2.0,0.0,0.0,0.0,True,True
ERS14E08,10,2,9,N/A,0.0,0.0,0.0,,False,False
ERS14E09,10,1,0,1,1.0,0.0,0.0,0.0,True,True
ERS14E10,10,1,10,N/A,,,,,True,False
ERS14E11,10,2,9,N/A,-1.0,0.0,0.0,,False,False
ERS14E18,10,1,10,N/A,,,,,True,False
ERS14E19,10,1,10,N/A,,,,,True,False
ERS15E01,10,1,10,N/A,,,,,True,False
ERS15E10,10,2,0,-1,0.0,2.0,2.0,1.0540925533894598,False,True
ERS15E11,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS15E16,10,3,2,1,1.0,0.25,1.0,0.46291004988627577,False,True
ERS15E17,10,2,9,N/A,-1.0,0.0,0.0,,False,False
ERS15E19,10,1,10,N/A,,,,,True,False
ERS15E20,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
ERS15E21,10,1,10,N/A,,,,,True,False
GAS01E02,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
GAS02E02,10,1,10,N/A,,,,,True,False
GAS02E05,10,2,5,1,1.0,0.0,0.0,0.0,False,True
GAS02E09,10,1,10,N/A,,,,,True,False
GAS03E02,10,2,0,-1,0.0,2.0,2.0,1.0540925533894598,False,True
GAS04E04,10,1,10,N/A,,,,,True,False
GAS04E06,10,1,10,N/A,,,,,True,False
GAS04E09,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS04E10,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS04E15,10,2,9,N/A,1.0,0.0,0.0,,False,False
GAS05E08,10,1,10,N/A,,,,,True,False
GAS05E10,10,2,3,1,1.0,0.0,0.0,0.0,False,True
GAS06E15,10,3,1,1,1.0,1.0,1.0,0.5,False,True
GAS07E01,10,1,10,N/A,,,,,True,False
GAS07E20,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS08E16,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS09E09,10,1,10,N/A,,,,,True,False
GAS09E12,10,1,10,N/A,,,,,True,False
GAS10E04,10,1,0,-2,-2.0,0.0,0.0,0.0,True,True
GAS10E05,10,1,10,N/A,,,,,True,False
GAS10E21,10,1,10,N/A,,,,,True,False
GAS10E24,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS11E04,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS11E06,10,1,10,N/A,,,,,True,False
GAS12E01,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS12E04,10,1,10,N/A,,,,,True,False
GAS12E07,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS12E17,10,1,10,N/A,,,,,True,False
GAS13E10,10,1,10,N/A,,,,,True,False
GAS14E01,10,2,6,N/A,1.0,0.0,0.0,0.0,False,False
GAS14E03,10,1,10,N/A,,,,,True,False
GAS14E05,10,1,10,N/A,,,,,True,False
GAS14E09,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS14E10,10,2,0,1,1.5,1.0,1.0,0.5270462766947299,False,True
GAS14E11,10,2,5,1,1.0,0.0,0.0,0.0,False,True
GAS14E12,10,1,10,N/A,,,,,True,False
GAS14E20,10,1,10,N/A,,,,,True,False
GAS14E21,10,2,8,N/A,1.0,0.0,0.0,0.0,False,False
GAS15E04,10,1,10,N/A,,,,,True,False
GAS15E07,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS15E15,10,2,5,1,1.0,0.0,0.0,0.0,False,True
GAS15E23,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS15E25,10,1,10,N/A,,,,,True,False
GAS16E04,10,2,9,N/A,-1.0,0.0,0.0,,False,False
GAS17E01,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS17E02,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS17E03,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS17E04,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS17E05,10,2,0,1,1.5,1.0,1.0,0.5270462766947299,False,True
GAS17E06,10,2,0,2,2.0,0.75,1.0,0.4830458915396479,False,True
GAS17E08,10,1,10,N/A,,,,,True,False
GAS17E11,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS17E12,10,1,0,2,2.0,0.0,0.0,0.0,True,True
GAS17E13,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS17E14,10,1,0,2,2.0,0.0,0.0,0.0,True,True
GAS17E15,10,2,0,1,1.0,0.75,1.0,0.48304589153964794,False,True
GAS17E16,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS17E17,10,2,9,N/A,1.0,0.0,0.0,,False,False
GAS18E02,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS18E06,10,1,10,N/A,,,,,True,False
GAS18E11,10,1,10,N/A,,,,,True,False
GAS18E18,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS18E19,10,3,1,1,1.0,0.0,2.0,0.6666666666666667,False,True
GAS19E01,10,2,3,1,1.0,0.0,0.0,0.0,False,True
GAS19E04,10,1,0,1,1.0,0.0,0.0,0.0,True,True
GAS19E15,10,2,2,1,1.0,0.0,0.0,0.0,False,True
GAS19E18,10,1,10,N/A,,,,,True,False
GAS20E06,10,3,4,1,1.0,0.0,1.0,0.408248290463863,False,True
GAS20E07,10,1,10,N/A,,,,,True,False
GAS20E08,10,2,4,1,1.0,0.0,0.0,0.0,False,True
GAS21E05,10,1,0,1,1.0,0.0,0.0,0.0,True,True
HS01E01,10,2,6,N/A,-1.0,0.0,0.0,0.0,False,False
HS01E07,10,2,9,N/A,-1.0,0.0,0.0,,False,False
HS01E08,10,1,10,N/A,,,,,True,False
HS01E15,10,3,5,N/A,-2.0,1.0,1.0,0.5477225575051661,False,True
HS01E17,10,1,0,1,1.0,0.0,0.0,0.0,True,True
HS01E19,10,1,10,N/A,,,,,True,False
HS01E22,10,1,10,N/A,,,,,True,False
HS02E01,10,2,0,-1,-1.0,0.0,2.0,0.8432740427115679,False,True
HS02E03,10,1,0,1,1.0,0.0,0.0,0.0,True,True
HS02E05,10,2,3,-1,-1.0,0.0,0.0,0.0,False,True
HS02E07,10,1,10,N/A,,,,,True,False
HS02E09,10,1,10,N/A,,,,,True,False
HS02E14,10,2,8,N/A,-1.0,0.0,0.0,0.0,False,False
HS02E20,10,2,8,N/A,-1.0,0.0,0.0,0.0,False,False
HS02E21,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
HS02E23,10,2,2,0,0.0,0.0,0.0,0.0,False,True
HS03E03,10,1,10,N/A,,,,,True,False
HS03E04,10,1,10,N/A,,,,,True,False
HS03E05,10,1,0,1,1.0,0.0,0.0,0.0,True,True
HS03E06,10,1,10,N/A,,,,,True,False
HS03E07,10,1,10,N/A,,,,,True,False
HS03E10,10,1,10,N/A,,,,,True,False
HS03E13,10,2,0,1,1.0,2.0,2.0,1.0327955589886444,False,True
HS03E14,10,1,10,N/A,,,,,True,False
HS03E19,10,1,10,N/A,,,,,True,False
HS03E20,10,1,0,1,1.0,0.0,0.0,0.0,True,True
HS03E21,10,2,9,N/A,-1.0,0.0,0.0,,False,False
HS03E24,10,1,10,N/A,,,,,True,False
HS04E02,10,1,10,N/A,,,,,True,False
HS04E04,10,2,0,-1,-1.0,0.0,1.0,0.4216370213557839,False,True
HS04E05,10,1,10,N/A,,,,,True,False
HS04E06,10,1,10,N/A,,,,,True,False
HS04E13,10,1,10,N/A,,,,,True,False
HS05E02,10,2,3,-1,-1.0,0.0,0.0,0.0,False,True
HS05E04,10,3,5,N/A,0.0,0.0,1.0,0.4472135954999579,False,True
HS05E06,10,3,3,0,0.0,0.5,1.0,0.48795003647426666,False,True
HS05E11,10,1,10,N/A,,,,,True,False
HS05E17,10,1,10,N/A,,,,,True,False
HS05E20,10,3,0,0,0.0,0.75,2.0,0.6324555320336759,False,True
HS05E22,10,2,8,N/A,-1.0,0.0,0.0,0.0,False,False
HS06E01,10,1,10,N/A,,,,,True,False
HS06E03,10,1,0,1,1.0,0.0,0.0,0.0,True,True
HS06E07,10,1,10,N/A,,,,,True,False
HS06E20,10,2,8,N/A,-1.0,0.0,0.0,0.0,False,False
HS06E21,10,2,0,1,1.0,2.0,2.0,1.0327955589886444,False,True
HS07E02,10,2,4,1,1.0,0.0,0.0,0.0,False,True
HS07E03,10,1,10,N/A,,,,,True,False
HS07E05,10,2,9,N/A,0.0,0.0,0.0,,False,False
HS07E06,10,2,0,-1,-1.0,0.75,1.0,0.4830458915396479,False,True
HS07E07,10,2,0,-1,0.0,2.0,2.0,1.0540925533894598,False,True
HS07E09,10,1,0,-1,-1.0,0.0,0.0,0.0,True,True
HS07E13,10,1,10,N/A,,,,,True,False
HS07E18,10,1,10,N/A,,,,,True,False
HS07E20,10,2,6,N/A,-1.0,0.0,0.0,0.0,False,False
HS08E01,10,2,5,-1,-1.0,0.0,0.0,0.0,False,True
HS08E02,10,1,10,N/A,,,,,True,False
HS08E04,10,3,7,N/A,-1.0,0.5,1.0,0.5773502691896258,False,False
HS08E06,10,1,10,N/A,,,,,True,False
HS08E22,10,1,10,N/A,,,,,True,False
NAS01E01,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS01E03,10,2,0,2,2.0,0.0,1.0,0.31622776601683794,False,True
NAS01E05,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS01E06,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS01E11,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS01E12,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS01E14,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS02E01,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS02E02,10,2,1,1,1.0,0.0,0.0,0.0,False,True
NAS02E04,10,2,0,1,1.0,0.0,1.0,0.42163702135578396,False,True
NAS02E06,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS02E09,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS02E14,10,2,0,1,1.0,0.0,1.0,0.4216370213557839,False,True
NAS02E16,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS03E04,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS03E05,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS03E06,10,1,0,2,2.0,0.0,0.0,0.0,True,True
NAS03E07,10,2,8,N/A,1.0,0.0,0.0,0.0,False,False
NAS03E08,10,1,0,2,2.0,0.0,0.0,0.0,True,True
NAS03E09,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS03E10,10,1,0,2,2.0,0.0,0.0,0.0,True,True
NAS03E13,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS03E14,10,2,7,N/A,1.0,0.0,0.0,0.0,False,False
NAS04E01,10,1,10,N/A,,,,,True,False
NAS04E03,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS04E04,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS04E05,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS04E06,10,1,10,N/A,,,,,True,False
NAS04E07,10,2,6,N/A,1.0,0.0,0.0,0.0,False,False
NAS04E08,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS04E09,10,1,0,2,2.0,0.0,0.0,0.0,True,True
NAS04E10,10,2,4,-1,-1.0,0.0,0.0,0.0,False,True
NAS04E13,10,1,10,N/A,,,,,True,False
NAS04E17,10,3,2,1,1.0,0.0,2.0,0.7071067811865476,False,True
NAS04E18,10,1,10,N/A,,,,,True,False
NAS04E21,10,1,0,1,1.0,0.0,0.0,0.0,True,True
NAS05E12,10,1,0,1,1.0,0.0,0.0,0.0,True,True
PPS01E02,10,2,8,N/A,1.0,0.0,0.0,0.0,False,False
PPS02E04,10,1,10,N/A,,,,,True,False
PPS03E06,10,1,10,N/A,,,,,True,False
PPS03E12,10,1,10,N/A,,,,,True,False
PPS03E16,10,2,9,N/A,-1.0,0.0,0.0,,False,False
PPS04E16,10,1,10,N/A,,,,,True,False
PPS05E06,10,1,10,N/A,,,,,True,False
PPS05E10,10,1,10,N/A,,,,,True,False
PPS05E11,10,3,4,1,1.0,0.75,1.0,0.5163977794943222,False,True
PPS05E20,10,2,9,N/A,1.0,0.0,0.0,,False,False
PPS06E05,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TGDS01E01,10,2,9,N/A,1.0,0.0,0.0,,False,False
TGDS01E07,10,1,10,N/A,,,,,True,False
TGDS01E08,10,2,0,-2,-2.0,3.0,3.0,1.5491933384829668,False,True
TGDS01E10,10,3,6,N/A,1.0,0.5,2.0,1.0,False,False
TGDS01E12,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TGDS01E13,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TGDS02E02,10,2,0,1,1.0,1.5,2.0,0.9660917830792959,False,True
TGDS03E03,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TGDS04E02,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TGDS04E09,10,2,0,2,2.0,0.0,1.0,0.42163702135578396,False,True
TGDS05E02,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TGDS05E04,10,2,9,N/A,1.0,0.0,0.0,,False,False
TGDS05E05,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TGDS05E10,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TGDS05E12,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TGDS05E15,10,2,6,N/A,1.0,0.0,0.0,0.0,False,False
TGDS06E11,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TGDS06E14,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TGDS07E04,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TGDS07E06,10,2,4,1,1.0,0.0,0.0,0.0,False,True
TRS01E01,10,2,0,-1,-1.0,0.0,1.0,0.4216370213557839,False,True
TRS01E03,10,2,0,1,1.0,0.0,1.0,0.4216370213557839,False,True
TRS01E06,10,2,7,N/A,1.0,0.0,0.0,0.0,False,False
TRS01E08,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TRS01E13,10,1,10,N/A,,,,,True,False
TRS01E14,10,1,10,N/A,,,,,True,False
TRS02E01,10,1,10,N/A,,,,,True,False
TRS02E08,10,2,0,-1,-1.0,2.0,2.0,1.0327955589886444,False,True
TRS02E15,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TRS02E20,10,1,0,2,2.0,0.0,0.0,0.0,True,True
TRS03E02,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TRS03E04,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TRS03E06,10,2,9,N/A,1.0,0.0,0.0,,False,False
TRS03E08,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TRS04E01,10,2,0,0,0.5,1.0,1.0,0.5270462766947299,False,True
TRS04E02,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TRS04E03,10,2,8,N/A,1.0,0.0,0.0,0.0,False,False
TRS04E04,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TRS04E06,10,1,10,N/A,,,,,True,False
TRS04E07,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TRS04E08,10,2,7,N/A,1.0,0.0,0.0,0.0,False,False
TRS04E09,10,2,0,1,1.0,2.0,2.0,1.0327955589886446,False,True
TRS04E10,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TRS04E11,10,2,9,N/A,-1.0,0.0,0.0,,False,False
TRS05E04,10,1,0,1,1.0,0.0,0.0,0.0,True,True
TRS05E05,10,1,10,N/A,,,,,True,False
TRS06E02,10,3,0,0,0.0,0.0,2.0,0.6666666666666666,False,True
TRS06E03,10,1,10,N/A,,,,,True,False
TRS06E07,10,2,5,1,1.0,0.0,0.0,0.0,False,True
